靡ㄩ絏	虏嘿	るら	厨筍瞯
M2300  	筿摸计   	20010111	  -1.3411
M2300  	筿摸计   	20010112	   0.3063
M2300  	筿摸计   	20010115	   0.4428
M2300  	筿摸计   	20010116	   5.9063
M2300  	筿摸计   	20010117	   1.8087
M2300  	筿摸计   	20010118	  -0.1128
M2300  	筿摸计   	20010129	  -4.5312
M2300  	筿摸计   	20010130	   3.1974
M2300  	筿摸计   	20010131	   3.5354
M2300  	筿摸计   	20010201	  -0.6608
M2300  	筿摸计   	20010202	   2.4483
M2300  	筿摸计   	20010205	  -2.2810
M2300  	筿摸计   	20010206	  -1.3184
M2300  	筿摸计   	20010207	  -3.9553
M2300  	筿摸计   	20010208	   1.6957
M2300  	筿摸计   	20010209	   0.6388
M2300  	筿摸计   	20010212	   1.4632
M2300  	筿摸计   	20010213	   4.4394
M2300  	筿摸计   	20010214	  -3.0154
M2300  	筿摸计   	20010215	   4.8505
M2300  	筿摸计   	20010216	  -0.8021
M2300  	筿摸计   	20010219	  -2.4022
M2300  	筿摸计   	20010220	  -0.1238
M2300  	筿摸计   	20010221	  -0.2031
M2300  	筿摸计   	20010222	  -4.1766
M2300  	筿摸计   	20010223	  -1.2093
M2300  	筿摸计   	20010226	  -1.1331
M2300  	筿摸计   	20010227	  -0.6522
M2300  	筿摸计   	20010301	  -3.9614
M2300  	筿摸计   	20010302	   0.3244
M2300  	筿摸计   	20010305	   2.7833
M2300  	筿摸计   	20010306	   1.0487
M2300  	筿摸计   	20010307	   4.0810
M2300  	筿摸计   	20010308	  -1.4459
M2300  	筿摸计   	20010309	  -1.1057
M2300  	筿摸计   	20010312	  -1.5456
M2300  	筿摸计   	20010313	   1.2804
M2300  	筿摸计   	20010314	   1.1176
M2300  	筿摸计   	20010315	   2.2758
M2300  	筿摸计   	20010316	  -0.1346
M2300  	筿摸计   	20010319	  -2.7319
M2300  	筿摸计   	20010320	   0.2699
M2300  	筿摸计   	20010321	  -0.5311
M2300  	筿摸计   	20010322	   2.6552
M2300  	筿摸计   	20010323	   1.7172
M2300  	筿摸计   	20010326	   1.9404
M2300  	筿摸计   	20010327	  -0.3161
M2300  	筿摸计   	20010328	  -1.4269
M2300  	筿摸计   	20010329	   0.6399
M2300  	筿摸计   	20010330	  -0.1946
M2300  	筿摸计   	20010402	  -3.6100
M2300  	筿摸计   	20010403	  -3.1276
M2300  	筿摸计   	20010404	  -0.4958
M2300  	筿摸计   	20010406	   2.6077
M2300  	筿摸计   	20010409	  -2.0266
M2300  	筿摸计   	20010410	  -1.2076
M2300  	筿摸计   	20010411	   3.1124
M2300  	筿摸计   	20010412	   2.1550
M2300  	筿摸计   	20010413	  -1.4863
M2300  	筿摸计   	20010416	  -0.9307
M2300  	筿摸计   	20010417	   0.0330
M2300  	筿摸计   	20010418	   2.0360
M2300  	筿摸计   	20010419	   2.5599
M2300  	筿摸计   	20010420	   0.0351
M2300  	筿摸计   	20010423	   0.0105
M2300  	筿摸计   	20010424	  -0.2908
M2300  	筿摸计   	20010425	  -1.9574
M2300  	筿摸计   	20010426	   0.2437
M2300  	筿摸计   	20010427	  -2.1025
M2300  	筿摸计   	20010430	  -0.3324
M2300  	筿摸计   	20010502	  -0.2345
